Image,Conversion (nm/pixel),Image (clean name),Length (pixels),Width (pixels)
3 200K -1um.png,0.056,3_200K_-1um.png,2048,2048
3 59K.png,0.368,3_59K.png,1024,1024
3-1 31K x-297.95 y64.08.png,0.714,3-1_31K_x-297.95_y64.08.png,1024,1024
3-1 39K.png,0.559,3-1_39K.png,1024,1024
3-1 59K defocus -1um.png,0.368,3-1_59K_defocus_-1um.png,1024,1024
3-1 93K -1um.png,0.237,3-1_93K_-1um.png,1024,1024
3-1 defocus -1um_2.png,0.143,3-1_defocus_-1um_2.png,1024,1024
3-2 defocus -2um.png,0.143,3-2_defocus_-2um.png,1024,1024
???,0.143,3-3_defocus_-3um.png,,
30_01.jpg,0.38,30_01.jpg,512,512
30_02.jpg,0.38,30_02.jpg,512,512
30_03.jpg,0.38,30_03.jpg,512,512
30_04.jpg,0.38,30_04.jpg,512,512
30_05.jpg,0.38,30_05.jpg,512,512
31_01.jpg,0.38,31_01.jpg,512,512
31_02.jpg,0.38,31_02.jpg,512,512
31_03.jpg,0.38,31_03.jpg,512,512
32_02.jpg,0.38,32_02.jpg,512,512
32_03.jpg,0.38,32_03.jpg,512,512
33_01.jpg,0.38,33_01.jpg,512,512
33_02.jpg,0.38,33_02.jpg,512,512
33_03.jpg,0.38,33_03.jpg,512,512
34_01.jpg,0.38,34_01.jpg,512,512
34_02.jpg,0.38,34_02.jpg,512,512
35_01.jpg,0.38,35_01.jpg,512,512
35_02.jpg,0.38,35_02.jpg,512,512
35_03.jpg,0.38,35_03.jpg,512,512
36_01.jpg,0.38,36_01.jpg,512,512
36_02.jpg,0.38,36_02.jpg,512,512
37_01.jpg,0.38,37_01.jpg,512,512
37_02.jpg,0.38,37_02.jpg,512,512
38_01.jpg,0.38,38_01.jpg,512,512
38_02.jpg,0.38,38_02.jpg,512,512
39_01.jpg,0.38,39_01.jpg,512,512
39_02.jpg,0.38,39_02.jpg,512,512
39_03.jpg,0.38,39_03.jpg,512,512
4_-1um 200K.png,0.056,4_-1um_200K.png,2048,2048
4 200K -1um.png,0.056,4_200K_-1um.png,2048,2048
4 59K.png,0.368,4_59K.png,1024,1024
4-1 155K -1um.png,0.143,4-1_155K_-1um.png,1024,1024
4-1 defocus -1um x361.21 y70.86 z21.1.png,0.143,4-1_defocus_-1um_x361.21_y70.86_z21.1.png,1024,1024
4-2 115K -1um.png,0.192,4-2_115K_-1um.png,1024,1024
4-2 200K -1um.png,0.112,4-2_200K_-1um.png,1024,1024
4-2 defocus -2um.png,0.143,4-2_defocus_-2um.png,1024,1024
4-3 155K -1um.png,0.143,4-3_155K_-1um.png,1024,1024
???,0.112,4-3_200K_-1um.png,,
4-3 defocus -3um.png,0.143,4-3_defocus_-3um.png,1024,1024
40_01.jpg,0.38,40_01.jpg,512,512
40_02.jpg,0.38,40_02.jpg,512,512
40_03.jpg,0.38,40_03.jpg,512,512
41_01.jpg,0.38,41_01.jpg,512,512
41_02.jpg,0.38,41_02.jpg,512,512
41_03.jpg,0.38,41_03.jpg,512,512
41_04.jpg,0.38,41_04.jpg,512,512
41dpa voids 5 -512.png,0.164,41dpa_voids_5_-512.png,1024,1024
41dpa voids5 +512.png,0.164,41dpa_voids5_+512.png,1024,1024
41dpa voids9 -512-1.png,0.164,41dpa_voids9_-512-1.png,1024,1024
41dpa voids9 +512-1.png,0.164,41dpa_voids9_+512-1.png,1024,1024
42_01.jpg,0.38,42_01.jpg,512,512
42_02.jpg,0.38,42_02.jpg,512,512
42_03.jpg,0.38,42_03.jpg,512,512
42_04.jpg,0.38,42_04.jpg,512,512
42_05.jpg,0.38,42_05.jpg,512,512
43_01.jpg,0.38,43_01.jpg,512,512
43_02.jpg,0.38,43_02.jpg,512,512
43_04.jpg,0.38,43_04.jpg,512,512
44_01.jpg,0.38,44_01.jpg,512,512
44_02.jpg,0.38,44_02.jpg,512,512
44_03.jpg,0.38,44_03.jpg,512,512
44_04.jpg,0.38,44_04.jpg,512,512
45_01.jpg,0.38,45_01.jpg,512,512
45_02.jpg,0.38,45_02.jpg,512,512
45_03.jpg,0.38,45_03.jpg,512,512
46_01.jpg,0.38,46_01.jpg,512,512
46_02.jpg,0.38,46_02.jpg,512,512
46_03.jpg,0.38,46_03.jpg,512,512
47_01.jpg,0.38,47_01.jpg,512,512
47_02.jpg,0.38,47_02.jpg,512,512
47_03.jpg,0.38,47_03.jpg,512,512
47_04.jpg,0.38,47_04.jpg,512,512
47_05.jpg,0.38,47_05.jpg,512,512
48_01.jpg,0.38,48_01.jpg,512,512
48_02.jpg,0.38,48_02.jpg,512,512
48_03.jpg,0.38,48_03.jpg,512,512
49_01.jpg,0.38,49_01.jpg,512,512
49_02.jpg,0.38,49_02.jpg,512,512
49_03.jpg,0.38,49_03.jpg,512,512
49_04.jpg,0.38,49_04.jpg,512,512
5 115K.png,0.192,5_115K.png,1024,1024
5_115K.png,0.192,5_115K.png,1024,1024
5 200K -1um.png,0.056,5_200K_-1um.png,2048,2048
5_200K -1um.png,0.056,5_200K_-1um.png,2048,2048
5 59K.png,0.368,5_59K.png,1024,1024
5_78K.png,0.286,5_78K.png,1024,1024
5-1 115K -1um.png,0.192,5-1_115K_-1um.png,1024,1024
5-1 200K defocus -1um.png,0.112,5-1_200K_defocus_-1um.png,1024,1024
???,0.714,5-1_31K_-1um.png,,
5-1 59K -1um.png,0.368,5-1_59K_-1um.png,1024,1024
5-1 59K.png,0.368,5-1_59K.png,1024,1024
5-1 78K -1um.png,0.286,5-1_78K_-1um.png,1024,1024
5-1 93K -1um.png,0.237,5-1_93K_-1um.png,1024,1024
5-2 -2um.png,0.112,5-2_-2um.png,1024,1024
5-2 115K -1um.png,0.192,5-2_115K_-1um.png,1024,1024
5-2 39K -1um.png,0.559,5-2_39K_-1um.png,1024,1024
5-2 78K -1um.png,0.286,5-2_78K_-1um.png,1024,1024
5-2 93K -1um.png,0.237,5-2_93K_-1um.png,1024,1024
5-3 1um.png,0.112,5-3_1um.png,1024,1024
5-3 200K defocus -1um.png,0.112,5-3_200K_defocus_-1um.png,1024,1024
5-3 39K -1um.png,0.559,5-3_39K_-1um.png,1024,1024
5-3 59K -1um.png,0.368,5-3_59K_-1um.png,1024,1024
5-3 78K -1um.png,0.286,5-3_78K_-1um.png,1024,1024
5-3 93K -1um.png,0.237,5-3_93K_-1um.png,1024,1024
5-4 2um.png,0.112,5-4_2um.png,1024,1024
50_01.jpg,0.38,50_01.jpg,512,512
50_02.jpg,0.38,50_02.jpg,512,512
50_03.jpg,0.38,50_03.jpg,512,512
50_04.jpg,0.38,50_04.jpg,512,512
50_05.jpg,0.38,50_05.jpg,512,512
51_01.jpg,0.38,51_01.jpg,512,512
51_02.jpg,0.38,51_02.jpg,512,512
51_03.jpg,0.38,51_03.jpg,512,512
51_04.jpg,0.38,51_04.jpg,512,512
52_01.jpg,0.38,52_01.jpg,512,512
52_02.jpg,0.38,52_02.jpg,512,512
52_03.jpg,0.38,52_03.jpg,512,512
52_04.jpg,0.38,52_04.jpg,512,512
53_01.jpg,0.38,53_01.jpg,512,512
53_02.jpg,0.38,53_02.jpg,512,512
53_03.jpg,0.38,53_03.jpg,512,512
53_04.jpg,0.38,53_04.jpg,512,512
54_01.jpg,0.38,54_01.jpg,512,512
54_02.jpg,0.38,54_02.jpg,512,512
54_03.jpg,0.38,54_03.jpg,512,512
54_04.jpg,0.38,54_04.jpg,512,512
54_05.jpg,0.38,54_05.jpg,512,512
55_01.jpg,0.38,55_01.jpg,512,512
55_02.jpg,0.38,55_02.jpg,512,512
55_03.jpg,0.38,55_03.jpg,512,512
55_04.jpg,0.38,55_04.jpg,512,512
55_05.jpg,0.38,55_05.jpg,512,512
56_01.jpg,1.5,56_01.jpg,512,512
56_02.jpg,1.5,56_02.jpg,512,512
56_03.jpg,1.5,56_03.jpg,512,512
56_04.jpg,1.5,56_04.jpg,512,512
57_01.jpg,1.5,57_01.jpg,512,512
57_03.jpg,1.5,57_03.jpg,512,512
57_04.jpg,1.5,57_04.jpg,512,512
58_01.jpg,1.5,58_01.jpg,512,512
58_02.jpg,1.5,58_02.jpg,512,512
58_03.jpg,1.5,58_03.jpg,512,512
58_04.jpg,1.5,58_04.jpg,512,512
???,1.5,59_01.jpg,,
???,1.5,59_02.jpg,,
???,1.5,59_03.jpg,,
???,1.5,59_04.jpg,,
6_-1um 200K.png,0.056,6_-1um_200K.png,2048,2048
6 200K -1um.png,0.056,6_200K_-1um.png,2048,2048
6 93K.png,0.237,6_93K.png,1024,1024
60_01.jpg,1.5,60_01.jpg,512,512
61_01.jpg,1.5,61_01.jpg,512,512
62_01.jpg,1.5,62_01.jpg,512,512
62_02.jpg,1.5,62_02.jpg,512,512
62_03.jpg,1.5,62_03.jpg,512,512
62_04.jpg,1.5,62_04.jpg,512,512
???,1.5,63_01.jpg,,
64_02.jpg,1.5,64_02.jpg,512,512
66_01.jpg,1.5,66_01.jpg,512,512
67_01.jpg,1.5,67_01.jpg,512,512
69_01.jpg,1.5,69_01.jpg,512,512
7_-1um 200K.png,0.056,7_-1um_200K.png,2048,2048
7_115K.png,0.192,7_115K.png,1024,1024
7 200K -1um.png,0.056,7_200K_-1um.png,2048,2048
7 78K.png,0.286,7_78K.png,1024,1024
7_78K.png,0.286,7_78K.png,1024,1024
70_01.jpg,1.5,70_01.jpg,512,512
71_01.jpg,1.5,71_01.jpg,512,512
72_01.jpg,1.5,72_01.jpg,512,512
74_01.jpg,1.5,74_01.jpg,512,512
74dpa Over focus 512 scale bar using 41dpa or 100dpa.png,0.672,74dpa_Over_focus_512_scale_bar_using_41dpa_or_100dpa.png,1024,1024
74dpa Under focus 512.png,0.672,74dpa_Under_focus_512.png,1024,1024
74dpa-voids4 Overfocus.png,0.672,74dpa-voids4_Overfocus.png,1024,1024
74dpa-voids4 Under focus.png,0.672,74dpa-voids4_Under_focus.png,1024,1024
75_01.jpg,1.5,75_01.jpg,512,512
76_01.jpg,1.5,76_01.jpg,512,512
77_01.jpg,1.5,77_01.jpg,512,512
78_01.jpg,1.5,78_01.jpg,512,512
79_01.jpg,1.5,79_01.jpg,512,512
8_200K -1um.png,0.056,8_200K_-1um.png,2048,2048
80_01.jpg,1.5,80_01.jpg,512,512
800H-H01-1_2016-02-27_0004.png,0.424,800H-H01-1_2016-02-27_0004.png,1335,2004
800H-H01-1_2016-02-27_0006.png,0.215,800H-H01-1_2016-02-27_0006.png,1335,2004
800H-H01-1_2016-02-27_0007.png,0.424,800H-H01-1_2016-02-27_0007.png,1335,2004
800H-H01-1_2016-02-27_0031.png,0.424,800H-H01-1_2016-02-27_0031.png,1335,2004
800H-H07_0008.png,0.631,800H-H07_0008.png,2672,4008
800H-H07_0012.png,0.213,800H-H07_0012.png,2672,4008
800H-H07_0014.png,0.213,800H-H07_0014.png,2672,4008
800H-H07_0015.png,0.213,800H-H07_0015.png,2672,4008
???,0.213,800H-H07_0017.png,,
800H-H07_0018.png,0.213,800H-H07_0018.png,2672,4008
800H-H07_0054.png,0.213,800H-H07_0054.png,2672,4008
800H-H07_0055.png,0.213,800H-H07_0055.png,2672,4008
800H-H07_0056.png,0.213,800H-H07_0056.png,2672,4008
800H-H07_0057.png,0.213,800H-H07_0057.png,2672,4008
800H-H07_0068.png,0.213,800H-H07_0068.png,2672,4008
800H-H07_0069.png,0.107,800H-H07_0069.png,2672,4008
82_01.jpg,1.5,82_01.jpg,512,512
84_01.jpg,1.5,84_01.jpg,512,512
85_01.jpg,1.5,85_01.jpg,512,512
86_01.jpg,1.5,86_01.jpg,512,512
87_01.jpg,1.5,87_01.jpg,512,512
9 155K.png,0.143,9_155K.png,1024,1024
9 200K -1um.png,0.056,9_200K_-1um.png,2048,2048
9_200K.png,0.056,9_200K.png,2048,2048
9 39K.png,0.559,9_39K.png,1024,1024
9 78K.png,0.286,9_78K.png,1024,1024
9_93K.png,0.237,9_93K.png,1024,1024
cavity1 x362.59 y71.13 z20.42.png,0.112,cavity1_x362.59_y71.13_z20.42.png,1024,1024
CTEM 150kx c1 a0b0 _0006.png,0.077,CTEM_150kx_c1_a0b0_0006.png,4096,4096
CTEM 150kx c1 a0b0 _0009.png,0.077,CTEM_150kx_c1_a0b0_0009.png,4096,4096
CTEM 150kx c1 a0b0 _0013.png,0.077,CTEM_150kx_c1_a0b0_0013.png,4096,4096
CTEM 150kx c1 a0b0 _0014.png,0.077,CTEM_150kx_c1_a0b0_0014.png,4096,4096
CTEM 150kx c1 a0b0 _0015.png,0.077,CTEM_150kx_c1_a0b0_0015.png,4096,4096
CTEM 150kx c1 a0b0 _0016.png,0.077,CTEM_150kx_c1_a0b0_0016.png,4096,4096
CTEM 150kx c1 a0b0 _0021.png,0.077,CTEM_150kx_c1_a0b0_0021.png,4096,4096
CTEM 150kx c1 a0b0 _0023.png,0.077,CTEM_150kx_c1_a0b0_0023.png,4096,4096
CTEM 150kx c1 a0b0 _0024.png,0.077,CTEM_150kx_c1_a0b0_0024.png,4096,4096
CTEM 150kx c1 a0b0 _0026.png,0.077,CTEM_150kx_c1_a0b0_0026.png,4096,4096
CTEM 150kx c1 a0b0 _0033.png,0.077,CTEM_150kx_c1_a0b0_0033.png,4096,4096
CTEM 150kx c1 a0b0 _0034.png,0.077,CTEM_150kx_c1_a0b0_0034.png,4096,4096
CTEM 150kx c1 a0b0 _0035.png,0.077,CTEM_150kx_c1_a0b0_0035.png,4096,4096
CTEM 150kx c1 a0b0 _0036.png,0.077,CTEM_150kx_c1_a0b0_0036.png,4096,4096
CTEM 150kx c1 a0b0 _0039.png,0.077,CTEM_150kx_c1_a0b0_0039.png,4096,4096
CTEM 150kx c1 a0b0 _0043.png,0.077,CTEM_150kx_c1_a0b0_0043.png,4096,4096
CTEM 150kx c1 a0b0 _0044.png,0.077,CTEM_150kx_c1_a0b0_0044.png,4096,4096
CTEM 150kx c1 a0b0 _0045.png,0.077,CTEM_150kx_c1_a0b0_0045.png,4096,4096
CTEM 150kx c1 a0b0 _0047.png,0.077,CTEM_150kx_c1_a0b0_0047.png,4096,4096
CTEM 150kx c1 a0b0 _0054.png,0.077,CTEM_150kx_c1_a0b0_0054.png,4096,4096
CTEM 150kx c1 a0b0 _0057.png,0.077,CTEM_150kx_c1_a0b0_0057.png,4096,4096
CTEM 150kx c1 a0b0 _0062.png,0.077,CTEM_150kx_c1_a0b0_0062.png,4096,4096
CTEM BF 01_0000 counted.png,0.077,CTEM_BF_01_0000_counted.png,4096,4096
CTEM BF 01_0000.png,0.077,CTEM_BF_01_0000.png,4096,4096
CTEM BF 01 a0b0_0003.png,0.077,CTEM_BF_01_a0b0_0003.png,4096,4096
CTEM BF 150 kx area2 a0b0_0021.png,0.077,CTEM_BF_150_kx_area2_a0b0_0021.png,4096,4096
CTEM BF 150 kx area4 a0b0_0007.png,0.077,CTEM_BF_150_kx_area4_a0b0_0007.png,4096,4096
HT9 33dpa 360C_0009.png,0.043,HT9_33dpa_360C_0009.png,2672,4008
HT9 33dpa 360C_0010.png,0.043,HT9_33dpa_360C_0010.png,2672,4008
HT9 33dpa 360C_0011.png,0.043,HT9_33dpa_360C_0011.png,2672,4008
HT9 33dpa 360C_0012.png,0.043,HT9_33dpa_360C_0012.png,2672,4008
HT9 33dpa 360C_0014.png,0.043,HT9_33dpa_360C_0014.png,2672,4008
HT9 33dpa 360C_0015.png,0.043,HT9_33dpa_360C_0015.png,2672,4008
HT9 33dpa 360C_0016.png,0.043,HT9_33dpa_360C_0016.png,2672,4008
HT9 33dpa 360C_0017.png,0.043,HT9_33dpa_360C_0017.png,2672,4008
HT9 33dpa 360C_0018.png,0.043,HT9_33dpa_360C_0018.png,2672,4008
???,0.043,HT9_33dpa_360C_0019.png,,
???,0.043,HT9_33dpa_360C_0022.png,,
HT9 33dpa 360C_0023.png,0.043,HT9_33dpa_360C_0023.png,2672,4008
HT9 33dpa 360C_0024.png,0.043,HT9_33dpa_360C_0024.png,2672,4008
???,0.043,HT9_33dpa_360C_0025.png,,
HT9 33dpa 360C_0026.png,0.043,HT9_33dpa_360C_0026.png,2672,4008
???,0.011,HT9_33dpa_360C_0028.png,,
HT9 33dpa 360C_0030.png,0.043,HT9_33dpa_360C_0030.png,2672,4008
HT9 33dpa 360C_0031.png,0.043,HT9_33dpa_360C_0031.png,2672,4008
HT9 33dpa 360C_0032.png,0.043,HT9_33dpa_360C_0032.png,2672,4008
HT9 33dpa 360C_0034.png,0.043,HT9_33dpa_360C_0034.png,2672,4008
HT9 33dpa 360C_0035.png,0.16,HT9_33dpa_360C_0035.png,2672,4008
???,0.043,HT9_33dpa_360C_0037.png,,
HT9 33dpa 360C_0039.png,0.043,HT9_33dpa_360C_0039.png,2672,4008
HT9 33dpa 360C_0042.png,0.043,HT9_33dpa_360C_0042.png,2672,4008
???,0.043,HT9_33dpa_360C_0043.png,,
HT9 33dpa 360C_0044.png,0.043,HT9_33dpa_360C_0044.png,2672,4008
HT9 33dpa 360C_0045.png,0.16,HT9_33dpa_360C_0045.png,2672,4008
???,0.16,"T-X=0.2,_-2962.3nm.png",,
"T-X=0.2, -503.9nm.png",0.16,"T-X=0.2,_-503.9nm.png",2672,4008
"T-X=0.2, 2962.3nm.png",0.16,"T-X=0.2,_2962.3nm.png",2672,4008
"T-X=0.2, 503.9nm.png",0.16,"T-X=0.2,_503.9nm.png",2672,4008
"T-X=10.6, 0nm.png",0.16,"T-X=10.6,_0nm.png",2672,4008
"T-X=10.6, 2962.3nm.png",0.16,"T-X=10.6,_2962.3nm.png",2672,4008
"T-X=10.6, 503.9nm.png",0.16,"T-X=10.6,_503.9nm.png",2672,4008
"T-X=20.8, 0nm.png",0.16,"T-X=20.8,_0nm.png",2672,4008
"T-X=20.8, 503.9nm.png",0.16,"T-X=20.8,_503.9nm.png",2672,4008
